ms_file,ms_file_label,peak_label,mz_mean,mz_width,rt,rt_min,rt_max,rt_unit,intensity_threshold,target_filename,peak_area,peak_area_top3,peak_n_datapoints,peak_max,peak_rt_of_max,peak_min,peak_median,peak_mean,peak_delta_int,peak_shape_rt,peak_shape_int,peak_mass_diff_25pc,peak_mass_diff_50pc,peak_mass_diff_75pc,peak_score,total_intensity,ms_file_size_MB
Data/mzML/Pos/QC_126.mzML,QC_126,Cyanidin-3-O-rutinoside,596.1735,10,135.0,131.0,140.0,s,1000,unknown,125515.0,19607.0,13,21180.0,137.0189971923828,1354.0,7684.0,9655.0,3584.0,"133.52,134.02,134.52,135.02,135.52,136.02,136.52,137.02,137.52,138.02,138.52,139.02,139.52","4938,14402,19830,21180,17811,11726,10523,7684,6311,4507,3503,1746,1354",-1.5995566412126598,-1.3948002867286045,-1.2924221094865767,0,21626602255,84.15081119537354
Data/mzML/Pos/QC_126.mzML,QC_126,Rutin hydrate,611.16068,10,167.04,163.44,170.64,s,1000,unknown,1097598.0,96479.0,28,109147.0,167.9810028076172,4875.0,27683.0,39199.92857142857,1359.0,"163.99,164.49,164.98,165.48,165.98,166.48,166.98,167.48,167.98,168.48,168.98,169.48,169.98,170.48","6234,30320,79147,109147,101143,75566,61059,43199,31277,20520,17084,12859,8244,5757",-5.151283159621191,1.8394495188947118,8.9300498071037,0,21626602255,84.15081119537354
Data/mzML/Pos/QC_126.mzML,QC_126,(−)-Epicatechin,291.08633,10,148.0,144.0,152.0,s,1000,unknown,14357899.0,2124965.0,17,2270774.0,145.50799560546875,14993.0,586196.0,844582.2941176471,168410.0,"144.01,144.51,145.01,145.51,146.01,146.51,147.01,147.51,148.01,148.51,149.0,149.5,150.0,150.5,151.0,151.5,152.0","14993,15753,81638,586196,1609384,2265633,2270774,1838490,1375352,1034694,849705,696533,557740,432019,314652,230940,183403",2.635534168762337,2.8452147685005658,3.159735668107909,0,21626602255,84.15081119537354
Data/mzML/Pos/QC_126.mzML,QC_126,phloridzin,437.14423999999997,10,191.0,189.0,195.0,s,1000,unknown,287182.0,42196.0,12,45561.0,189.95399475097656,2099.0,21528.0,23931.833333333332,11734.0,"189.46,189.95,190.45,190.95,191.45,191.95,192.45,192.95,193.45,193.95,194.45,194.95","2099,4375,15060,33783,45451,45561,35578,28627,22747,20309,19759,13833",-4.046002123705095,-3.906379658932369,-3.644587537483508,0,21626602255,84.15081119537354
Data/mzML/Pos/QC_126.mzML,QC_126,quercitrin,449.10785999999996,10,182.0,179.0,186.0,s,1000,unknown,1323883.0,193834.0,14,205623.0,184.46099853515625,8531.0,83744.0,94563.07142857143,36930.0,"179.47,179.97,180.47,180.96,181.46,181.96,182.46,182.96,183.46,183.96,184.46,184.96,185.46,185.96","8531,12266,17101,53480,127022,199651,205623,176230,139963,109667,92639,74849,61400,45461",5.004191810493687,5.208046480004482,5.326961703885778,0,21626602255,84.15081119537354
Data/mzML/Pos/QC_126.mzML,QC_126,Kaempferol-3-glucoside,449.10785999999996,10,181.992,178.392,185.59199999999998,s,1000,unknown,1296977.0,193834.0,15,205623.0,184.46099853515625,7792.0,74849.0,86465.13333333333,50637.0,"178.47,178.97,179.47,179.97,180.47,180.96,181.46,181.96,182.46,182.96,183.46,183.96,184.46,184.96,185.46","10763,7792,8531,12266,17101,53480,127022,199651,205623,176230,139963,109667,92639,74849,61400",5.004191810493687,5.208046480004482,5.27599803650808,0,21626602255,84.15081119537354
Data/mzML/Pos/QC_126.mzML,QC_126,quercetin-3-O-galactoside,465.10276999999996,10,169.0,165.0,175.0,s,1000,unknown,10494575.0,1228763.0,20,1260052.0,167.9810028076172,25464.0,394584.0,524728.75,58016.0,"165.48,165.98,166.48,166.98,167.48,167.98,168.48,168.98,169.48,169.98,170.48,170.98,171.48,171.98,172.48,172.98,173.47,173.97,174.47,174.97","29605,30583,25464,31615,184715,656737,1105504,1252483,1260052,1173754,1070285,911045,738469,580530,441218,347950,257901,180822,128222,87621",-4.695870764141132,-4.433411969281664,-4.236567873137064,0,21626602255,84.15081119537354
Data/mzML/Pos/QC_126.mzML,QC_126,2α-Hydroxyursolic Acid,473.3625,10,408.0,405.0,411.0,s,1000,unknown,50674.0,7791.0,10,8498.0,406.6940002441406,2041.0,4614.0,5067.4,1028.0,"406.2,406.69,407.19,407.69,408.19,408.69,409.19,409.69,410.19,410.69","2041,4707,7025,8498,7850,5862,4521,3816,3285,3069",2.1984196341094435,2.3595940940899025,2.4724162160762235,0,21626602255,84.15081119537354
Data/mzML/Pos/QC_126.mzML,QC_126,Procyanidin B1,579.1496999999999,10,126.0,123.0,131.0,s,1000,unknown,6323219.0,510789.0,31,558025.0,130.52699279785156,1269.0,167991.0,203974.8064516129,49671.0,"123.04,123.54,124.03,124.53,125.03,125.53,126.03,126.53,127.03,127.53,128.03,128.53,129.03,129.53,130.03,130.53","1269,1786,5493,61568,249656,473188,558025,501155,377297,288653,235377,189200,152053,106540,78273,60344",-6.9223588153268185,-6.500808696247071,7.515732763154532,0,21626602255,84.15081119537354
Data/mzML/Pos/QC_126.mzML,QC_126,Procyanidin B2,579.1496999999999,10,140.0,137.0,145.0,s,1000,unknown,26876903.0,1918937.0,32,2045843.0,137.0189971923828,25530.0,704897.0,839903.21875,221680.0,"137.02,137.52,138.02,138.52,139.02,139.52,140.01,140.51,141.01,141.51,142.01,142.51,143.01,143.51,144.01,144.51","31156,33646,95574,537602,1381237,1938907,2045843,1772061,1474081,1166901,1007723,847223,657725,493874,365526,282841",-6.711583755786944,0.5074620334537306,7.726507822694406,0,21626602255,84.15081119537354
